UF;Título;URL;Município;Esfera;Poder;Solução
AL;Alagoas em dados e informações;http://dados.al.gov.br/;;Estadual;Executivo;CKAN
CE;Fortaleza Dados Abertos;http://dados.fortaleza.ce.gov.br/;Fortaleza;Municipal;Executivo;CKAN
DF;Dados abertos Distrito Federal;http://dados.df.gov.br/;;Estadual;Executivo;CKAN
MG;Dados abertos – Estado de MG;http://www.transparencia.mg.gov.br/dados-abertos;;Estadual;Executivo;CKAN
MG;Portal de Dados Abertos – Prefeitura de Belo Horizonte;https://dados.pbh.gov.br/;Belo Horizonte;Municipal;Executivo;CKAN
PE;Dados Recife;http://dados.recife.pe.gov.br;Recife;Municipal;Executivo;CKAN
PE;Dados Abertos – Portal da Transparência de Pernambuco;http://web.transparencia.pe.gov.br/dados-abertos/;;Estadual;Executivo;CKAN
RN;Portal da Transparência e Mobilidade Urbana de Natal;http://dados.natal.br/;Natal;Municipal;Executivo;CKAN
RS;Dados RS;http://dados.rs.gov.br/;;Estadual;Executivo;CKAN
RS;DataPOA;http://www.datapoa.com.br/;Porto Alegre;Municipal;Executivo;CKAN
SP;Governo Aberto SP;http://www.governoaberto.sp.gov.br/;;Estadual;Executivo;CKAN
SP;Portal de Dados Abertos da Cidade de São Paulo;http://dados.prefeitura.sp.gov.br/;São Paulo;Municipal;Executivo;CKAN
